race,vehicle_number,lap,zone_id,classification,x_meters,y_meters
R1,0,2,7,Conservative,535169.2818256181,3710126.7159992373
R1,0,2,8,Conservative,535101.5633435639,3710046.955666456
R1,0,2,9,Conservative,534898.0184968199,3710108.811554761
R1,0,2,10,Conservative,534943.5134051017,3710261.235992273
R1,0,2,11,Conservative,535064.9193538441,3710188.0851599127
R1,0,3,1,Conservative,535465.9096638049,3710566.8189669275
R1,0,3,2,Conservative,535487.8672916648,3710759.7621381185
R1,0,3,3,Conservative,535268.6532142921,3710267.919458086
R1,0,3,4,Conservative,535651.303574845,3710622.4862220823
R1,0,3,5,Optimal,535782.318337573,3710632.6998723885
R1,0,3,6,Conservative,535530.6569394857,3710298.065599135
R1,0,3,7,Conservative,535171.4132619189,3710125.032010277
R1,0,3,8,Optimal,535100.8518355883,3710047.7989594196
R1,0,3,9,Optimal,534895.8748463963,3710113.8791029053
R1,0,3,10,Conservative,534941.3912458066,3710260.3824065
R1,0,3,11,Conservative,535065.6077502304,3710193.5859262636
R1,0,4,1,Conservative,535465.1950460301,3710568.508109122
R1,0,4,2,Conservative,535503.448380446,3710760.665461845
R1,0,4,3,Conservative,535272.1921618839,3710268.7783051822
R1,0,4,4,Conservative,535648.4716074744,3710622.0527941114
R1,0,4,5,Conservative,535782.3387682838,3710627.2016798668
R1,0,4,6,Conservative,535529.9422911012,3710299.7547361264
R1,0,4,7,Conservative,535189.0681212796,3710140.32245068
R1,0,4,8,Conservative,535099.4303613035,3710049.062608113
R1,0,4,9,Conservative,534899.4261427512,3710111.354312988
R1,0,4,10,Conservative,534944.2141415643,3710263.353250085
R1,0,4,11,Conservative,535064.1863018476,3710194.849580212
R1,0,5,1,Conservative,535465.2028341859,3710566.3934202124
R1,0,5,2,Conservative,535494.9432271757,3710761.902937214
R1,0,5,3,Conservative,535273.6012347024,3710270.8981821374
R1,0,5,4,Conservative,535652.0056946529,3710624.1805961626
R1,0,5,5,Conservative,535781.6099549715,3710632.6972401366
R1,0,5,6,Conservative,535529.9485324259,3710298.0629856056
R1,0,5,7,Conservative,535170.7094757409,3710123.76061093
R1,0,5,8,Conservative,535100.143410384,3710047.796377658
R1,0,5,9,Conservative,534897.2978166346,3710112.1924869637
R1,0,5,10,Conservative,534940.6736297371,3710262.9174612607
R1,0,5,11,Conservative,535058.5143682136,3710196.0977608454
R1,0,6,1,Conservative,535465.89564484,3710570.6254069763
R1,0,6,2,Conservative,535489.2731262597,3710762.727924959
R1,0,6,3,Conservative,535272.1890638921,3710269.6241803
