race,vehicle_number,lap,zone_id,zone_name,classification,avg_total_g,avg_utilization,wheelspin,understeer,oversteer,sample_count,event_coverage,max_event_run_len
R1,0,2,7,Turn 7,Conservative,0.6593437805124585,0.3659013761220904,False,False,False,54,0.0,0
R1,0,2,8,Turn 8,Conservative,0.8472556534789786,0.5585522737868314,True,False,False,72,0.013888888888888888,1
R1,0,2,9,Turn 9,Conservative,0.5892968538551457,0.38966583157114004,True,False,False,156,0.019230769230769232,2
R1,0,2,10,Turn 10,Conservative,0.6776073285003625,0.4290886985667809,False,False,False,114,0.0,0
R1,0,2,11,Turn 11,Conservative,0.6331983893294211,0.40485656079677323,False,False,False,141,0.0,0
R1,0,3,1,Turn 1,Conservative,1.2410018509219847,0.6924110202947164,False,True,False,79,0.0379746835443038,2
R1,0,3,2,Turn 2,Conservative,1.2124138231949597,0.7901670830216394,True,True,False,164,0.17073170731707318,9
R1,0,3,3,Turn 3,Conservative,1.2112479782881032,0.7298737063492184,True,True,False,102,0.3137254901960784,9
R1,0,3,4,Turn 4,Conservative,1.140781915746836,0.7221810666858335,False,True,False,49,0.2857142857142857,10
R1,0,3,5,Turn 5,Optimal,1.2331569965916742,0.829145798084108,False,True,False,100,0.01,1
R1,0,3,6,Turn 6,Conservative,1.106878345690721,0.7227040180559514,False,False,False,58,0.0,0
R1,0,3,7,Turn 7,Conservative,1.0487648394291622,0.5903228205708946,False,True,False,34,0.29411764705882354,4
R1,0,3,8,Turn 8,Optimal,1.4417143362506375,0.970360197009049,False,True,False,51,0.058823529411764705,3
R1,0,3,9,Turn 9,Optimal,1.3018168373938805,0.8229755148922961,False,True,False,103,0.009708737864077669,1
R1,0,3,10,Turn 10,Conservative,1.0772839137699908,0.7048267836464157,False,True,False,92,0.07608695652173914,4
R1,0,3,11,Turn 11,Conservative,0.7273306945963711,0.4338134975761115,False,False,False,128,0.0,0
R1,0,4,1,Turn 1,Conservative,0.6937326807743527,0.366838385952847,False,False,False,102,0.0,0
R1,0,4,2,Turn 2,Conservative,0.759244721048853,0.5128514874493852,False,False,False,202,0.0,0
R1,0,4,3,Turn 3,Conservative,1.1368963163849968,0.6426731728279164,False,True,True,98,0.11224489795918367,7
R1,0,4,4,Turn 4,Conservative,0.4906017193294729,0.3260283108814687,False,False,False,77,0.0,0
R1,0,4,5,Turn 5,Conservative,0.8872759661890026,0.6767109624429967,False,True,False,111,0.02702702702702703,3
R1,0,4,6,Turn 6,Conservative,0.387102999688387,0.26092281657360644,False,False,False,100,0.0,0
R1,0,4,7,Turn 7,Conservative,0.7066951229999046,0.4211024571236287,False,False,False,14,0.0,0
R1,0,4,8,Turn 8,Conservative,1.1299543066125985,0.7555682509680723,False,False,False,58,0.0,0
R1,0,4,9,Turn 9,Conservative,0.7044963378404945,0.4443731087197582,False,False,False,134,0.0,0
R1,0,4,10,Turn 10,Conservative,0.8033492342924012,0.5362086931525353,False,False,False,107,0.0,0
R1,0,4,11,Turn 11,Conservative,0.76908165179524,0.42773607582947165,False,False,False,123,0.0,0
R1,0,5,1,Turn 1,Conservative,0.7772799822210021,0.4021650745982597,False,False,False,98,0.0,0
R1,0,5,2,Turn 2,Conservative,1.0282988859542261,0.692694584061851,False,True,False,176,0.03409090909090909,6
R1,0,5,3,Turn 3,Conservative,1.0617437927895246,0.60097304306634,True,True,False,100,0.09,4
R1,0,5,4,Turn 4,Conservative,0.7295467901824363,0.5050963920996308,False,False,False,63,0.0,0
R1,0,5,5,Turn 5,Conservative,0.9505781095301294,0.6226919688806272,False,False,False,109,0.0,0
R1,0,5,6,Turn 6,Conservative,0.7624321261679932,0.4946116820230384,False,False,False,70,0.0,0
R1,0,5,7,Turn 7,Conservative,0.659929953339125,0.4125048587438929,False,True,False,47,0.02127659574468085,1
R1,0,5,8,Turn 8,Conservative,0.906127177406586,0.5960892476439773,False,False,False,67,0.0,0
R1,0,5,9,Turn 9,Conservative,0.5278918707004732,0.3486554181683572,False,False,False,157,0.0,0
R1,0,5,10,Turn 10,Conservative,0.7407747469944317,0.4840454405235328,False,False,False,114,0.0,0
R1,0,5,11,Turn 11,Conservative,0.9295075187282975,0.5710688130320002,False,True,False,116,0.034482758620689655,2
R1,0,6,1,Turn 1,Conservative,1.339017390462662,0.764201191988461,False,True,False,76,0.09210526315789473,4
R1,0,6,2,Turn 2,Conservative,1.180496247704069,0.768912424191346,False,True,False,167,0.18562874251497005,15
R1,0,6,3,Turn 3,Conservative,1.2108703766390165,0.7184863937593831,False,True,False,94,0.11702127659574468,5
R1,0,6,4,Turn 4,Conservative,1.101697159029489,0.7069369736349794,False,True,False,49,0.1836734693877551,3
R1,0,6,5,Turn 5,Conservative,1.2290049928812443,0.7840656083100117,False,True,False,98,0.09183673469387756,7
R1,0,6,6,Turn 6,Conservative,1.062957983205731,0.6772533835480437,False,True,False,58,0.034482758620689655,2
R1,0,6,7,Turn 7,Conservative,1.0395777999866473,0.5882921912801664,False,True,False,37,0.10810810810810811,3
R1,0,6,8,Turn 8,Optimal,1.4086220195003105,0.9670564317158531,True,True,False,51,0.0392156862745098,1
R1,0,6,9,Turn 9,Aggressive,1.3239787207090088,0.872982528002954,False,True,False,102,0.18627450980392157,10
R1,0,6,10,Turn 10,Conservative,1.1759924529929193,0.7735773592196753,False,True,False,95,0.2,8
R1,0,6,11,Turn 11,Conservative,1.2235739151662661,0.7056217564746218,True,True,False,97,0.15463917525773196,4
R1,0,7,1,Turn 1,Conservative,1.2871127410334753,0.7257571882703244,False,True,True,79,0.10126582278481013,7
R1,0,7,2,Turn 2,Conservative,1.2229854773751856,0.7813994846396212,False,True,False,167,0.1497005988023952,13
R1,0,7,3,Turn 3,Conservative,1.221714273230882,0.720736456752805,False,True,False,97,0.1958762886597938,14
R1,0,7,4,Turn 4,Conservative,1.151825070724008,0.7528459930336572,False,True,False,47,0.06382978723404255,3
R1,0,7,5,Turn 5,Optimal,1.2461135723252956,0.8418980381493602,False,True,False,99,0.08080808080808081,8
R1,0,7,6,Turn 6,Conservative,1.0618351036046914,0.7061587505903475,False,True,False,58,0.08620689655172414,5
R1,0,7,7,Turn 7,Conservative,1.0769773864262233,0.6033517421922437,False,True,False,32,0.28125,7
R1,0,7,8,Turn 8,Aggressive,1.3908762574866886,0.9273960490495375,True,True,False,53,0.3018867924528302,10
R1,0,7,9,Turn 9,Optimal,1.323974099510002,0.8339481014993183,True,True,False,101,0.039603960396039604,3
R1,0,7,10,Turn 10,Conservative,1.201144663942866,0.7873118173807164,True,True,False,88,0.25,9
R1,0,7,11,Turn 11,Conservative,1.2476199252517195,0.7184078890898293,False,True,False,97,0.020618556701030927,2
R1,0,8,1,Turn 1,Conservative,1.2652714224214998,0.7180248841537246,False,True,False,79,0.20253164556962025,7
R1,0,8,2,Turn 2,Conservative,1.2241846041429276,0.7745567581088367,False,True,False,169,0.11834319526627218,12
R1,0,8,3,Turn 3,Conservative,1.219272357809254,0.711909530325494,False,True,False,100,0.17,9
R1,0,8,4,Turn 4,Conservative,1.151490039757708,0.7452785930830642,False,True,False,47,0.3191489361702128,11
R1,0,8,5,Turn 5,Optimal,1.2855257381995069,0.8503090499031691,False,False,False,95,0.0,0
R1,0,8,6,Turn 6,Conservative,1.0697383518173096,0.7061914398337772,False,True,False,57,0.03508771929824561,2
R1,0,8,7,Turn 7,Conservative,0.9967678491449573,0.5641365614418693,False,True,False,35,0.14285714285714285,3
R1,0,8,8,Turn 8,Optimal,1.3712974581883428,0.8962554886117197,True,True,False,51,0.1568627450980392,5
R1,0,8,9,Turn 9,Optimal,1.2562260962327838,0.8208304062568441,False,True,False,101,0.12871287128712872,9
R1,0,8,10,Turn 10,Conservative,1.1746313988169417,0.7558380377574465,False,True,False,91,0.17582417582417584,10
R1,0,8,11,Turn 11,Conservative,1.2397705560169743,0.7185334365780578,False,True,False,97,0.12371134020618557,5
R1,0,9,1,Turn 1,Conservative,1.2603490547045335,0.6964787520820898,False,True,False,79,0.0759493670886076,3
R1,0,9,2,Turn 2,Conservative,1.2152187422295153,0.7804266344117845,True,True,False,169,0.03550295857988166,5
R1,0,9,3,Turn 3,Conservative,1.2374245555229948,0.724901985124188,True,True,False,92,0.25,12
R1,0,9,4,Turn 4,Conservative,1.1450483784927366,0.7514062304723799,False,True,False,46,0.21739130434782608,4
R1,0,9,5,Turn 5,Optimal,1.2737174276396621,0.8417205844658895,False,True,False,99,0.030303030303030304,3
R1,0,9,6,Turn 6,Conservative,1.0509453646835956,0.6891778397876689,False,True,False,58,0.08620689655172414,4
R1,0,9,7,Turn 7,Conservative,1.0958836156662302,0.6612717748488889,False,True,False,14,0.07142857142857142,1
R1,0,9,8,Turn 8,Aggressive,1.3766850208625456,0.9229185546528844,False,True,False,54,0.24074074074074073,11
R1,0,9,9,Turn 9,Optimal,1.2997557705055143,0.8488239018605142,False,True,False,101,0.09900990099009901,4
R1,0,9,10,Turn 10,Conservative,1.1294363687707467,0.7600664586853648,False,True,False,96,0.23958333333333334,4
R1,0,9,11,Turn 11,Conservative,1.2371692306789188,0.7130620407878001,True,True,False,97,0.16494845360824742,7
